id,first_name,creationDate,typePet
1,Lucille,2018-09-18,Swallow-tail gull
2,Jozef,2018-10-05,"Badger, eurasian"
3,Bevon,2019-01-12,Asian openbill
4,Laurent,2019-01-12,Ornate rock dragon
5,Loree,2019-03-30,Slender loris
6,Abbie,2018-11-01,"Grenadier, common"
7,Sammie,2018-09-16,"Dik, kirk's dik"
8,Nevin,2019-01-20,Whip-tailed wallaby
9,Joelie,2019-07-05,"Skunk, striped"
10,Orson,2019-06-22,Pale white-eye
11,Corrie,2019-03-25,Swamp deer
12,Brett,2019-02-14,"Squirrel, arctic ground"
13,Olenka,2018-10-27,Golden-mantled ground squirrel
14,Peg,2019-07-30,Ostrich
15,Amble,2019-01-08,Nilgai
16,Christabella,2019-09-02,Arctic lemming
17,Stinky,2018-11-02,Seven-banded armadillo
18,Orelie,2018-11-21,Common brushtail possum
19,Garek,2019-06-24,Large-eared bushbaby
20,Sherm,2019-04-11,Four-spotted skimmer
21,Terri-jo,2018-12-28,Currasow (unidentified)
22,Tobiah,2019-07-28,California sea lion
23,Shaine,2019-01-25,"Turkey, australian brush"
24,Eliza,2019-04-17,"Mongoose, banded"
25,Bartie,2019-08-25,Common rhea
26,Dorisa,2019-06-02,Emerald-spotted wood dove
27,Delphine,2019-07-09,"Waterbuck, common"
28,Jacki,2018-09-16,Blue-tongued lizard
29,Sasha,2018-12-26,African fish eagle
30,Chelsae,2019-03-27,Mexican wolf
31,Lombard,2019-07-08,"Dove, white-winged"
32,Leontyne,2018-11-02,"Crane, blue"
33,Roger,2019-02-20,"Cat, jungle"
34,Corney,2018-09-24,"Legaan, Monitor (unidentified)"
35,Brand,2018-12-03,Sea birds (unidentified)
36,Alysa,2019-01-17,Cape wild cat
37,Eryn,2019-05-04,"Finch, common melba"
38,Eulalie,2019-09-01,African wild dog
39,Renard,2019-05-22,"Moorhen, purple"
40,Chere,2019-01-05,Red-cheeked cordon bleu
41,Gauthier,2019-03-29,Crowned eagle
42,Toddy,2019-04-11,Ibex
43,Hadrian,2018-12-15,Asian water buffalo
44,Terra,2018-10-08,"Barbet, black-collared"
45,Prescott,2018-10-19,African fish eagle
46,Audra,2019-04-19,Red and blue macaw
47,Mab,2018-10-28,Crab-eating fox
48,Marj,2019-08-25,"Racer, american"
49,Chandra,2018-11-12,Common waterbuck
50,Terry,2019-07-25,Sable antelope
51,Benyamin,2018-12-06,Harbor seal
52,Nydia,2018-11-19,Lilac-breasted roller
53,Bernardo,2019-08-16,Andean goose
54,Orion,2019-05-14,"Skink, african"
55,Yehudi,2019-06-27,"Caracara, yellow-headed"
56,Rollin,2019-01-23,"Rat, desert kangaroo"
57,Ofelia,2018-10-21,"Goose, cape barren"
58,Trudie,2019-08-24,North American porcupine
59,Andrew,2019-02-21,Gray rhea
60,Carena,2019-07-28,Black-footed ferret
61,Lisabeth,2019-03-03,Savannah deer
62,Lyle,2019-08-30,"Squirrel, red"
63,Ferdinanda,2018-10-11,"Zebra, plains"
64,Sukey,2019-04-11,"Admiral, indian red"
65,Xenos,2019-09-02,Prehensile-tailed porcupine
66,Innis,2019-03-11,Brown hyena
67,Nathanael,2019-06-20,Ocelot
68,Udale,2019-07-31,Common shelduck
69,Ignacio,2019-07-26,Bent-toed gecko
70,Basil,2019-06-14,"Fox, silver-backed"
71,Nadia,2019-06-03,Galapagos hawk
72,Northrup,2018-12-19,"Rabbit, eastern cottontail"
73,Harriott,2019-06-08,"Cormorant, large"
74,Faber,2019-07-26,"Siskin, yellow-rumped"
75,Shawn,2019-09-05,"Stork, marabou"
76,Catharine,2019-03-29,"Cat, ringtail"
77,Rayna,2018-11-05,"Reedbuck, bohor"
